t,ATE_RMSE,RTE_yaw_deg_RMSE
1757422341.123925,0.01655227829814941,0.052988685262134294
1757422341.1813688,0.01655227829814941,0.052988685262134294
1757422341.2289715,0.015540000087803983,0.052988685262134294
1757422341.287096,0.015540000087803983,0.052988685262134294
1757422341.3250928,0.015540000087803983,0.052988685262134294
1757422341.378741,0.015540000087803983,0.052988685262134294
1757422341.4282258,0.015540000087803983,0.052988685262134294
1757422341.4630334,0.015540000087803983,0.052988685262134294
1757422341.5130453,0.015540000087803983,0.052988685262134294
1757422341.5861146,0.015540000087803983,0.052988685262134294
1757422341.634423,0.015540000087803983,0.052988685262134294
1757422341.6855867,0.015540000087803983,0.052988685262134294
1757422341.733431,0.015540000087803983,0.052988685262134294
1757422341.7850032,0.015540000087803983,0.052988685262134294
1757422341.838685,0.015540000087803983,0.052988685262134294
1757422341.8629286,0.015540000087803983,0.052988685262134294
1757422341.934844,0.015540000087803983,0.052988685262134294
1757422341.9765177,0.015540000087803983,0.052988685262134294
1757422342.027125,0.015540000087803983,0.052988685262134294
1757422342.0677176,0.015540000087803983,0.052988685262134294
1757422342.1291277,0.015540000087803983,0.052988685262134294
1757422342.1901543,0.015540000087803983,0.052988685262134294
1757422342.2311807,0.016608140023728835,0.052988685262134294
1757422342.2843502,0.02516025899647075,0.052988685262134294
1757422342.3185804,0.02516025899647075,0.052988685262134294
1757422342.3783827,0.02516025899647075,0.052988685262134294
1757422342.427986,0.02516025899647075,0.052988685262134294
1757422342.4631972,0.02516025899647075,0.052988685262134294
1757422342.5269969,0.02516025899647075,0.052988685262134294
1757422342.5835433,0.02516025899647075,0.052988685262134294
1757422342.6168587,0.02516025899647075,0.052988685262134294
1757422342.6631343,0.02516025899647075,0.052988685262134294
1757422342.7127485,0.02516025899647075,0.052988685262134294
1757422342.7643309,0.02516025899647075,0.052988685262134294
1757422342.8188636,0.02516025899647075,0.052988685262134294
1757422342.87456,0.02516025899647075,0.052988685262134294
1757422342.9137373,0.02516025899647075,0.052988685262134294
1757422342.9645948,0.02516025899647075,0.052988685262134294
1757422343.0142891,0.02516025899647075,0.052988685262134294
1757422343.0890663,0.02516025899647075,0.052988685262134294
1757422343.1347864,0.02516025899647075,0.052988685262134294
1757422343.1630912,0.02516025899647075,0.052988685262134294
1757422343.214819,0.02516025899647075,0.052988685262134294
