# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.9200,1.3700,0.8382,0.8382
-2.9700,1.4200,0.8732,0.8732
-2.9700,1.4700,0.8544,0.8544
-3.0200,1.5200,0.8860,0.8860
-3.0200,1.5700,0.8732,0.8732
-3.0700,1.6200,0.9124,0.9124
-3.0700,1.6700,0.9055,0.9055
-3.0700,1.7200,0.9014,0.9014
-3.1200,1.7700,0.9500,0.9500
-3.1200,1.8200,0.9500,0.9500
-3.1700,1.8700,1.0000,1.0000
-3.1700,1.9200,1.0000,1.0000
-3.1700,1.9700,1.0012,1.0012
-3.2200,2.0200,1.0548,1.0548
-3.2200,2.0700,1.0607,1.0607
-3.2200,2.1200,1.0689,1.0689
-3.2700,2.1700,1.1281,1.1281
-3.2700,2.2200,1.1402,1.1402
-3.2700,2.2700,1.1543,1.1543
-3.2700,2.3200,1.1705,1.1705
-3.3200,2.3700,1.2349,1.2349
-3.3200,2.4200,1.2540,1.2540
-3.3200,2.4700,1.2748,1.2748
-3.2700,2.5200,1.2530,1.2530
-3.2700,2.5700,1.2777,1.2777
-3.2700,2.6200,1.3038,1.3038
-3.2700,2.6700,1.3314,1.3314
-3.2200,2.7200,1.3200,1.3200
-3.2200,2.7700,1.3509,1.3509
-3.2200,2.8200,1.3416,1.3416
-3.1700,2.8700,1.3601,1.3601
-3.1200,2.9200,1.3416,1.3416
-3.0700,2.9700,1.3210,1.3210
-3.0200,2.9700,1.3435,1.3435
-2.9700,3.0200,1.3200,1.3200
-2.9200,3.0200,1.3124,1.3124
-2.8700,3.0700,1.3000,1.3000
-2.8200,3.0700,1.2903,1.2903
-2.7700,3.0700,1.2619,1.2619
-2.7200,3.0700,1.2349,1.2349
-2.6700,3.1200,1.2530,1.2530
-2.6200,3.1200,1.2298,1.2298
-2.5700,3.1200,1.2083,1.2083
-2.5200,3.1200,1.1885,1.1885
-2.4700,3.1200,1.1705,1.1705
-2.4200,3.1200,1.1543,1.1543
-2.3700,3.1200,1.1402,1.1402
-2.3200,3.1200,1.1281,1.1281
-2.2700,3.1200,1.1180,1.1180
-2.2200,3.0700,1.0607,1.0607
-2.1700,3.0700,1.0548,1.0548
-2.1200,3.0700,1.0512,1.0512
-2.0700,3.0700,1.0500,1.0500
-2.0200,3.0700,1.0500,1.0500
-1.9700,3.0700,1.0500,1.0500
-1.9200,3.0700,1.0500,1.0500
-1.8700,3.0700,1.0500,1.0500
-1.8200,3.0700,1.0500,1.0500
-1.7700,3.0200,1.0012,1.0012
-1.7200,3.0200,1.0050,1.0050
-1.6700,3.0200,1.0112,1.0112
-1.6200,3.0200,1.0198,1.0198
-1.5700,3.0200,1.0308,1.0308
-1.5200,3.0200,1.0440,1.0440
-1.4700,3.0200,1.0595,1.0595
-1.4200,3.0200,1.0689,1.0689
-1.3700,2.9700,1.0308,1.0308
-1.3200,2.9700,1.0440,1.0440
-1.2700,2.9700,1.0595,1.0595
-1.2200,2.9700,1.0689,1.0689
-1.1700,2.9700,1.0794,1.0794
-1.1200,2.9700,1.0920,1.0920
