# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6300,9.2300,0.9925,0.9925
-1.6300,9.1800,1.0000,1.0000
-1.6800,9.1300,1.0124,1.0124
-1.7300,9.0800,1.0000,1.0000
-1.7800,9.0300,0.9925,0.9925
-1.8300,8.9800,0.9862,0.9862
-1.8300,8.9300,0.9899,0.9899
-1.8800,8.8800,0.9899,0.9899
-1.9300,8.8300,0.9862,0.9862
-1.9800,8.7800,0.9708,0.9708
-2.0300,8.7300,0.9605,0.9605
-2.0800,8.6800,0.9552,0.9552
-2.0800,8.6300,0.9552,0.9552
-2.1300,8.5800,0.9552,0.9552
-2.1800,8.5300,0.9552,0.9552
-2.2300,8.4800,0.9552,0.9552
-2.2800,8.4300,0.9434,0.9434
-2.2800,8.3800,0.9434,0.9434
-2.3300,8.3300,0.9552,0.9552
-2.3800,8.2800,0.9434,0.9434
-2.4300,8.2300,0.9301,0.9301
-2.4800,8.1800,0.9220,0.9220
-2.5300,8.1300,0.9179,0.9179
-2.5300,8.0800,0.9192,0.9192
-2.5800,8.0300,0.9192,0.9192
-2.6300,7.9800,0.9192,0.9192
-2.6800,7.9300,0.9179,0.9179
-2.7300,7.8800,0.9014,0.9014
-2.7800,7.8300,0.8902,0.8902
-2.7800,7.7800,0.8846,0.8846
-2.8300,7.7300,0.8902,0.8902
-2.8800,7.6800,0.8902,0.8902
-2.9300,7.6300,0.8846,0.8846
-2.9300,7.5800,0.8846,0.8846
-2.9800,7.5300,0.8846,0.8846
-3.0300,7.4800,0.8846,0.8846
-3.0800,7.4300,0.8746,0.8746
-3.1300,7.3800,0.8602,0.8602
-3.1800,7.3300,0.8515,0.8515
-3.2300,7.2800,0.8485,0.8485
-3.2300,7.2300,0.8485,0.8485
-3.2800,7.1800,0.8485,0.8485
-3.3300,7.1300,0.8485,0.8485
-3.3800,7.0800,0.8485,0.8485
-3.4300,7.0300,0.8322,0.8322
-3.4800,6.9800,0.8201,0.8201
-3.4800,6.9300,0.8322,0.8322
-3.5300,6.8800,0.8322,0.8322
-3.5800,6.8300,0.8201,0.8201
-3.6300,6.7800,0.8139,0.8139
-3.6300,6.7300,0.8139,0.8139
-3.6800,6.6800,0.8139,0.8139
-3.7300,6.6300,0.8139,0.8139
-3.7800,6.5800,0.8139,0.8139
-3.8300,6.5300,0.8062,0.8062
-3.8800,6.4800,0.7906,0.7906
-3.9300,6.4300,0.7810,0.7810
-3.9800,6.3800,0.7632,0.7632
-3.9800,6.3300,0.7810,0.7810
-4.0300,6.2800,0.7810,0.7810
-4.0800,6.2300,0.7778,0.7778
-4.0800,6.1800,0.7778,0.7778
-4.1300,6.1300,0.7778,0.7778
-4.1800,6.0800,0.7778,0.7778
-4.2300,6.0300,0.7778,0.7778
-4.2800,5.9800,0.7632,0.7632
-4.3300,5.9300,0.7500,0.7500
-4.3800,5.8800,0.7382,0.7382
-4.3800,5.8300,0.7433,0.7433
-4.4300,5.7800,0.7433,0.7433
-4.4800,5.7300,0.7433,0.7433
-4.5300,5.6800,0.7382,0.7382
-4.5800,5.6300,0.7211,0.7211
-4.5800,5.5800,0.7211,0.7211
-4.6300,5.5300,0.7382,0.7382
-4.6300,5.4800,0.7159,0.7159
-4.6800,5.4300,0.7382,0.7382
-4.6800,5.3800,0.7159,0.7159
-4.6800,5.3300,0.6964,0.6964
-4.6800,5.2800,0.6801,0.6801
-4.7300,5.2300,0.7159,0.7159
-4.7300,5.1800,0.7071,0.7071
-4.7300,5.1300,0.7018,0.7018
-4.7300,5.0800,0.7000,0.7000
-4.7800,5.0300,0.7500,0.7500
-4.7800,4.9800,0.7500,0.7500
-4.7800,4.9300,0.7500,0.7500
-4.8300,4.8800,0.8000,0.8000
-4.8300,4.8300,0.8000,0.8000
-4.8300,4.7800,0.8016,0.8016
-4.8300,4.7300,0.8062,0.8062
-4.8800,4.6800,0.8631,0.8631
-4.8800,4.6300,0.8732,0.8732
-4.8800,4.5800,0.8860,0.8860
-4.8800,4.5300,0.9014,0.9014
-4.9300,4.4800,0.9657,0.9657
-4.9300,4.4300,0.9849,0.9849
-4.9300,4.3800,1.0062,1.0062
-4.9300,4.3300,1.0296,1.0296
-4.9800,4.2800,1.0977,1.0977
-4.9800,4.2300,1.1236,1.1236
-4.9800,4.1800,1.1511,1.1511
-5.0300,4.1300,1.2207,1.2207
-5.0300,4.0800,1.2500,1.2500
-5.0300,4.0300,1.2806,1.2806
-5.0300,3.9800,1.3124,1.3124
-5.0300,3.9300,1.3454,1.3454
-5.0300,3.8800,1.3793,1.3793
-4.9800,3.8300,1.3730,1.3730
-4.9300,3.7800,1.3601,1.3601
-4.8800,3.7300,1.3509,1.3509
-4.8300,3.6800,1.3454,1.3454
-4.7800,3.6800,1.3509,1.3509
-4.7300,3.6800,1.3200,1.3200
-4.6800,3.6300,1.3314,1.3314
-4.6300,3.6300,1.3038,1.3038
-4.5800,3.6300,1.2777,1.2777
-4.5300,3.5800,1.2971,1.2971
-4.4800,3.5800,1.2748,1.2748
-4.4300,3.5800,1.2540,1.2540
-4.3800,3.5800,1.2349,1.2349
-4.3300,3.5800,1.2176,1.2176
-4.2800,3.6300,1.1543,1.1543
-4.2300,3.6300,1.1402,1.1402
-4.1800,3.6300,1.1281,1.1281
-4.1300,3.6300,1.1180,1.1180
-4.0800,3.6800,1.0607,1.0607
-4.0300,3.6800,1.0548,1.0548
-3.9800,3.6800,1.0512,1.0512
-3.9300,3.7300,1.0000,1.0000
-3.8800,3.7300,1.0000,1.0000
-3.8300,3.7300,1.0000,1.0000
-3.7800,3.7800,0.9500,0.9500
-3.7300,3.7800,0.9500,0.9500
-3.6800,3.7800,0.9500,0.9500
-3.6300,3.8300,0.9000,0.9000
-3.5800,3.8300,0.9000,0.9000
-3.5300,3.8300,0.9014,0.9014
-3.4800,3.8800,0.8559,0.8559
-3.4300,3.8800,0.8631,0.8631
-3.3800,3.9300,0.8246,0.8246
-3.3300,3.9300,0.8382,0.8382
-3.2800,3.9300,0.8544,0.8544
-3.2300,3.9800,0.8276,0.8276
-3.1800,3.9800,0.8500,0.8500
-3.1300,4.0300,0.8276,0.8276
-3.0800,4.0300,0.8500,0.8500
-3.0300,4.0300,0.8485,0.8485
-2.9800,4.0800,0.8485,0.8485
-2.9300,4.1300,0.8322,0.8322
-2.8800,4.1800,0.8201,0.8201
-2.8300,4.2300,0.8139,0.8139
-2.8300,4.2800,0.8139,0.8139
-2.7800,4.3300,0.8139,0.8139
-2.7300,4.3800,0.8139,0.8139
-2.6800,4.4300,0.8139,0.8139
-2.6300,4.4800,0.8062,0.8062
-2.6300,4.5300,0.7906,0.7906
-2.5800,4.5800,0.8062,0.8062
-2.5300,4.6300,0.8062,0.8062
-2.4800,4.6800,0.7906,0.7906
-2.4800,4.7300,0.7906,0.7906
-2.4300,4.7800,0.8062,0.8062
-2.3800,4.8300,0.7826,0.7826
-2.3300,4.8800,0.7632,0.7632
-2.2800,4.9300,0.7500,0.7500
-2.2300,4.9800,0.7433,0.7433
-2.1800,5.0300,0.7433,0.7433
-2.1300,5.0800,0.7433,0.7433
-2.0800,5.1300,0.7433,0.7433
-2.0300,5.1800,0.7382,0.7382
-1.9800,5.2300,0.7211,0.7211
-1.9800,5.2800,0.7071,0.7071
-1.9300,5.3300,0.7106,0.7106
-1.8800,5.3800,0.7211,0.7211
-1.8300,5.4300,0.7211,0.7211
-1.7800,5.4800,0.7106,0.7106
-1.7800,5.5300,0.7071,0.7071
-1.7300,5.5800,0.7071,0.7071
-1.6800,5.6300,0.7106,0.7106
-1.6300,5.6800,0.6946,0.6946
-1.6300,5.7300,0.6946,0.6946
-1.5800,5.7800,0.6946,0.6946
-1.5800,5.8300,0.6801,0.6801
-1.5300,5.8800,0.6946,0.6946
-1.4800,5.9300,0.6801,0.6801
-1.4300,5.9800,0.6727,0.6727
-1.3800,6.0300,0.6727,0.6727
-1.3300,6.0800,0.6801,0.6801
-1.2800,6.1300,0.6946,0.6946
-1.2300,6.1800,0.7071,0.7071
-1.1800,6.2300,0.7071,0.7071
-1.1300,6.2800,0.7071,0.7071
-1.0800,6.3300,0.7106,0.7106
-1.0300,6.3800,0.7159,0.7159
-1.0300,6.4300,0.7071,0.7071
-0.9800,6.4800,0.7106,0.7106
-0.9300,6.5300,0.7106,0.7106
-0.9300,6.5800,0.6946,0.6946
-0.8800,6.6300,0.7071,0.7071
-0.8300,6.6800,0.7071,0.7071
-0.7800,6.7300,0.7071,0.7071
-0.7300,6.7800,0.6946,0.6946
-0.6800,6.8300,0.6801,0.6801
-0.6300,6.8800,0.6727,0.6727
-0.5800,6.9300,0.6727,0.6727
-0.5300,6.9800,0.6727,0.6727
