# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.3000,3.1300,1.1000,1.1000
-3.2500,3.1300,1.1180,1.1180
-3.2000,3.1800,1.1597,1.1597
-3.1500,3.2300,1.2042,1.2042
-3.1000,3.2300,1.2010,1.2010
-3.0500,3.2300,1.2000,1.2000
-3.0000,3.2300,1.2000,1.2000
-2.9500,3.1800,1.1511,1.1511
-2.9000,3.1800,1.1543,1.1543
-2.8500,3.1300,1.1102,1.1102
-2.8000,3.1300,1.1180,1.1180
-2.7500,3.0800,1.0794,1.0794
-2.7000,3.0800,1.0920,1.0920
-2.6500,3.0300,1.0595,1.0595
-2.6000,3.0300,1.0770,1.0770
-2.5500,3.0300,1.0920,1.0920
-2.5000,2.9800,1.0595,1.0595
-2.4500,2.9800,1.0770,1.0770
-2.4000,2.9300,1.0512,1.0512
-2.3500,2.9300,1.0735,1.0735
-2.3000,2.9300,1.0966,1.0966
-2.2500,2.8800,1.0735,1.0735
-2.2000,2.8300,1.0548,1.0548
-2.1500,2.8300,1.0817,1.0817
-2.1000,2.8300,1.1011,1.1011
-2.0500,2.7800,1.1011,1.1011
-2.0000,2.7800,1.0817,1.0817
-1.9500,2.7800,1.0548,1.0548
-1.9000,2.7800,1.0296,1.0296
-1.8500,2.7300,1.0512,1.0512
-1.8000,2.7300,1.0308,1.0308
-1.7500,2.7300,1.0124,1.0124
-1.7000,2.6800,1.0440,1.0440
-1.6500,2.6800,1.0308,1.0308
-1.6000,2.6800,1.0198,1.0198
-1.5500,2.6800,1.0112,1.0112
-1.5000,2.6800,1.0050,1.0050
-1.4500,2.6800,1.0012,1.0012
-1.4000,2.7300,0.9500,0.9500
-1.3500,2.7300,0.9500,0.9500
-1.3000,2.7300,0.9500,0.9500
-1.2500,2.7300,0.9500,0.9500
-1.2000,2.7300,0.9513,0.9513
-1.1500,2.7300,0.9552,0.9552
-1.1000,2.7800,0.9124,0.9124
-1.0500,2.7800,0.9220,0.9220
-1.0000,2.7800,0.9341,0.9341
-0.9500,2.7800,0.9487,0.9487
-0.9000,2.7800,0.9657,0.9657
-0.8500,2.8300,0.9394,0.9394
-0.8000,2.8300,0.9618,0.9618
-0.7500,2.8300,0.9849,0.9849
-0.7000,2.8300,1.0062,1.0062
-0.6500,2.8300,0.9849,0.9849
-0.6000,2.8300,0.9618,0.9618
-0.5500,2.8800,0.9849,0.9849
-0.5000,2.8800,0.9618,0.9618
-0.4500,2.9300,0.9849,0.9849
-0.4000,2.9300,0.9657,0.9657
-0.3500,2.9800,0.9962,0.9962
-0.3000,3.0300,1.0308,1.0308
-0.2500,3.0800,1.0689,1.0689
-0.2000,3.0800,1.0595,1.0595
-0.1500,3.1300,1.0920,1.0920
-0.1000,3.1800,1.1180,1.1180
-0.0500,3.2300,1.1413,1.1413
-0.0500,3.2800,1.1511,1.1511
0.0000,3.3300,1.1662,1.1662
-0.0500,3.3800,1.0977,1.0977
-0.0500,3.4300,1.0735,1.0735
-0.0500,3.4800,1.0512,1.0512
-0.0500,3.5300,1.0308,1.0308
-0.0500,3.5800,1.0124,1.0124
-0.0500,3.6300,0.9962,0.9962
-0.1000,3.6800,0.9341,0.9341
-0.1000,3.7300,0.9220,0.9220
-0.1000,3.7800,0.9124,0.9124
-0.1000,3.8300,0.9055,0.9055
-0.1000,3.8800,0.9014,0.9014
-0.1000,3.9300,0.9000,0.9000
-0.1000,3.9800,0.9000,0.9000
-0.1000,4.0300,0.9000,0.9000
-0.1000,4.0800,0.9000,0.9000
-0.1000,4.1300,0.9000,0.9000
-0.1000,4.1800,0.9000,0.9000
-0.1000,4.2300,0.9000,0.9000
-0.1000,4.2800,0.9000,0.9000
-0.1000,4.3300,0.9014,0.9014
-0.1000,4.3800,0.9055,0.9055
-0.1000,4.4300,0.9124,0.9124
-0.1000,4.4800,0.9220,0.9220
-0.1000,4.5300,0.9341,0.9341
-0.1000,4.5800,0.9487,0.9487
-0.1000,4.6300,0.9500,0.9500
-0.1000,4.6800,0.9500,0.9500
-0.1000,4.7300,0.9500,0.9500
-0.1000,4.7800,0.9500,0.9500
-0.1000,4.8300,0.9500,0.9500
-0.1000,4.8800,0.9500,0.9500
-0.0500,4.9300,0.9657,0.9657
-0.0500,4.9800,0.9849,0.9849
0.0000,5.0300,0.9618,0.9618
0.0000,5.0800,0.9849,0.9849
0.0500,5.1300,0.9618,0.9618
0.1000,5.1800,0.9394,0.9394
0.1500,5.2300,0.9179,0.9179
